농약명(한글),농약명(영어),식품명,잔류허용기준(mg/kg),max_residue_limit,condition_code
글루포시네이트,Glufosinate(ammonium),블루베리,0.1†,0.1,†
글루포시네이트,Glufosinate(ammonium),비트(뿌리),0.05,0.05,
글루포시네이트,Glufosinate(ammonium),사과,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),산마늘잎,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),생강,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),수박,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),수삼,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),수수,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),쌀,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),쑥갓,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),쑥부쟁이,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),아로니아,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),아욱,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),양배추,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),양상추,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),양파,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),엇갈이배추,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),오디,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),오이,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),옥수수,0.05†,0.05,†
글루포시네이트,Glufosinate(ammonium),올리브(열매),0.1†,0.1,†
글루포시네이트,Glufosinate(ammonium),유자,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),유채씨,0.3†,0.3,†
글루포시네이트,Glufosinate(ammonium),율무,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),인과류,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),조,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),차,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),참깨,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),청경채,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),체리,0.15†,0.15,†
글루포시네이트,Glufosinate(ammonium),취나물,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),커피원두,0.1†,0.1,†
글루포시네이트,Glufosinate(ammonium),콜라비,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),키위,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),토마토,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),파,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),팥,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),포도,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),표고버섯,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),풋마늘,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),풋콩,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),해바라기씨,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),핵과류,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),호박,0.05,0.05,
글루포시네이트,Glufosinate(ammonium),호프,0.9†,0.9,†
글리포세이트,Glyphosate,가금류고기,0.1,0.1,
글리포세이트,Glyphosate,가금류부산물,0.5,0.5,
글리포세이트,Glyphosate,감귤,0.5,0.5,
글리포세이트,Glyphosate,감자,0.05,0.05,
글리포세이트,Glyphosate,강낭콩,3.0†,3,†
글리포세이트,Glyphosate,견과류,1.0†,1,†
글리포세이트,Glyphosate,고사리,0.05,0.05,
글리포세이트,Glyphosate,고추,0.2,0.2,
글리포세이트,Glyphosate,귀리,20†,20,†
글리포세이트,Glyphosate,기장,0.05,0.05,
글리포세이트,Glyphosate,당근,0.05,0.05,
글리포세이트,Glyphosate,대두,15†,15,†
글리포세이트,Glyphosate,대추,0.05,0.05,
글리포세이트,Glyphosate,도라지,0.05,0.05,
글리포세이트,Glyphosate,돼지부산물,1,1,
글리포세이트,Glyphosate,두류,5.0†,5,†
글리포세이트,Glyphosate,두릅,0.03,0.03,
글리포세이트,Glyphosate,땅콩,0.05†,0.05,†
글리포세이트,Glyphosate,레몬,0.05,0.05,
글리포세이트,Glyphosate,마늘,0.05,0.05,
글리포세이트,Glyphosate,매실,0.05,0.05,
글리포세이트,Glyphosate,메밀,0.05,0.05,
글리포세이트,Glyphosate,면실,15†,15,†
글리포세이트,Glyphosate,무(뿌리),0.05,0.05,
글리포세이트,Glyphosate,밀,5.0†,5,†
글리포세이트,Glyphosate,밤,0.05,0.05,
글리포세이트,Glyphosate,배추,0.03,0.03,
글리포세이트,Glyphosate,보리,20†,20,†
글리포세이트,Glyphosate,복분자,0.05,0.05,
글리포세이트,Glyphosate,복숭아,0.05,0.05,
글리포세이트,Glyphosate,블루베리,0.05,0.05,
글리포세이트,Glyphosate,비트(뿌리),0.05,0.05,
글리포세이트,Glyphosate,사탕무,10†,10,†
글리포세이트,Glyphosate,사탕수수,2.0†,2,†
글리포세이트,Glyphosate,살구,0.05,0.05,
글리포세이트,Glyphosate,수삼,0.05,0.05,
글리포세이트,Glyphosate,수수,30†,30,†
글리포세이트,Glyphosate,쌀,0.05,0.05,
글리포세이트,Glyphosate,알,0.1,0.1,
글리포세이트,Glyphosate,양배추,0.05,0.05,
글리포세이트,Glyphosate,엇갈이배추,0.03,0.03,
글리포세이트,Glyphosate,열대과일류,0.05†,0.05,†
글리포세이트,Glyphosate,오렌지,0.05,0.05,
글리포세이트,Glyphosate,옥수수,3.0†,3,†
글리포세이트,Glyphosate,올리브(열매),1.0†,1,†
글리포세이트,Glyphosate,유,0.1,0.1,
글리포세이트,Glyphosate,유채씨,15†,15,†
글리포세이트,Glyphosate,인과류,0.2,0.2,
글리포세이트,Glyphosate,자두,0.05,0.05,
글리포세이트,Glyphosate,자몽,0.05,0.05,
글리포세이트,Glyphosate,차,0.8†,0.8,†
글리포세이트,Glyphosate,참깨,0.05,0.05,
글리포세이트,Glyphosate,체리,0.05,0.05,
글리포세이트,Glyphosate,커피원두,1.0†,1,†
글리포세이트,Glyphosate,콜라비,0.05,0.05,
글리포세이트,Glyphosate,크랜베리,0.05,0.05,
글리포세이트,Glyphosate,파,0.05,0.05,
글리포세이트,Glyphosate,포도,0.2,0.2,
글리포세이트,Glyphosate,포유류고기,0.1,0.1,
글리포세이트,Glyphosate,포유류부산물(돼지부산물 제외),5,5,
글리포세이트,Glyphosate,표고버섯,0.05,0.05,
글리포세이트,Glyphosate,풋콩,0.03,0.03,
글리포세이트,Glyphosate,호박,0.05,0.05,
글리포세이트,Glyphosate,호프,0.05,0.05,
나프로파마이드,Napropamide,감귤,0.1,0.1,
나프로파마이드,Napropamide,감자,0.1,0.1,
나프로파마이드,Napropamide,고추,0.1,0.1,
나프로파마이드,Napropamide,대두,0.05,0.05,
나프로파마이드,Napropamide,더덕,0.1,0.1,
나프로파마이드,Napropamide,동부,0.03,0.03,
나프로파마이드,Napropamide,들깨,0.05,0.05,
나프로파마이드,Napropamide,들깻잎,0.03,0.03,
나프로파마이드,Napropamide,딸기,0.05,0.05,
나프로파마이드,Napropamide,땅콩,0.1,0.1,
나프로파마이드,Napropamide,마늘,0.05,0.05,
나프로파마이드,Napropamide,무(뿌리),0.05,0.05,
나프로파마이드,Napropamide,무(잎),0.05,0.05,
나프로파마이드,Napropamide,배추,0.05,0.05,
나프로파마이드,Napropamide,부추,0.05,0.05,
나프로파마이드,Napropamide,브로콜리,0.05,0.05,
나프로파마이드,Napropamide,시금치,0.2,0.2,
나프로파마이드,Napropamide,쑥갓,0.05,0.05,
나프로파마이드,Napropamide,양배추,0.1,0.1,
나프로파마이드,Napropamide,엇갈이배추,0.1,0.1,
나프로파마이드,Napropamide,유채,0.03,0.03,
나프로파마이드,Napropamide,참깨,0.05,0.05,
나프로파마이드,Napropamide,참나물,0.05,0.05,
나프로파마이드,Napropamide,취나물,0.1,0.1,
나프로파마이드,Napropamide,토마토,0.05,0.05,
나프로파마이드,Napropamide,풋마늘,0.05,0.05,
나프로파마이드,Napropamide,풋콩,0.05,0.05,
노발루론,Novaluron,가금류고기,0.03,0.03,
노발루론,Novaluron,가금류부산물,0.1,0.1,
노발루론,Novaluron,가금류지방,0.5,0.5,
노발루론,Novaluron,가지,0.3,0.3,
노발루론,Novaluron,감,0.5,0.5,
노발루론,Novaluron,감귤,0.5,0.5,
노발루론,Novaluron,갓,2,2,
노발루론,Novaluron,건삼,1.5,1.5,
노발루론,Novaluron,고구마,0.05,0.05,
노발루론,Novaluron,고추,1.5,1.5,
노발루론,Novaluron,고추냉이(뿌리),0.05,0.05,
노발루론,Novaluron,고추냉이(잎),15,15,
노발루론,Novaluron,구기자(건조),5,5,
노발루론,Novaluron,근대,15,15,
노발루론,Novaluron,녹두,0.5,0.5,
노발루론,Novaluron,당근,0.05,0.05,
노발루론,Novaluron,대두,0.05,0.05,
노발루론,Novaluron,대추,0.7,0.7,
노발루론,Novaluron,대추(건조),1,1,
노발루론,Novaluron,도라지,0.05,0.05,
노발루론,Novaluron,들깻잎,20,20,
노발루론,Novaluron,딸기,1,1,
노발루론,Novaluron,땅콩,0.05,0.05,
노발루론,Novaluron,마늘,0.03,0.03,
노발루론,Novaluron,머위,10,10,
노발루론,Novaluron,멜론,1,1,
노발루론,Novaluron,면실,0.5†,0.5,†
노발루론,Novaluron,모과,1,1,
노발루론,Novaluron,무(뿌리),0.05,0.05,
노발루론,Novaluron,무(잎),7,7,
노발루론,Novaluron,미나리,1,1,
노발루론,Novaluron,배,1,1,
노발루론,Novaluron,배추,0.7,0.7,
노발루론,Novaluron,복분자,2,2,
노발루론,Novaluron,복숭아,1.9†,1.9,†
노발루론,Novaluron,부추,10,10,
노발루론,Novaluron,브로콜리,2,2,
노발루론,Novaluron,블루베리,7.0†,7,†
노발루론,Novaluron,비름나물,15,15,
노발루론,Novaluron,사과,1,1,
노발루론,Novaluron,살구,0.7,0.7,
노발루론,Novaluron,생강,0.05,0.05,
노발루론,Novaluron,셀러리,1,1,
노발루론,Novaluron,수박,0.5,0.5,
노발루론,Novaluron,수삼,0.5,0.5,
노발루론,Novaluron,순무,0.05,0.05,
노발루론,Novaluron,시금치,5,5,
노발루론,Novaluron,쑥갓,20,20,
노발루론,Novaluron,아로니아,2,2,
노발루론,Novaluron,아스파라거스,1,1,
노발루론,Novaluron,아욱,15,15,
노발루론,Novaluron,알,0.1,0.1,
노발루론,Novaluron,양배추,2,2,
노발루론,Novaluron,양상추,4,4,
노발루론,Novaluron,양파,0.03,0.03,
노발루론,Novaluron,엇갈이배추,2,2,
노발루론,Novaluron,엽경채류,5,5,
노발루론,Novaluron,오미자,1.5,1.5,
노발루론,Novaluron,오이,0.5,0.5,
노발루론,Novaluron,옥수수,0.05,0.05,
노발루론,Novaluron,우엉,0.5,0.5,
노발루론,Novaluron,우엉잎,10,10,
노발루론,Novaluron,유,0.4,0.4,
노발루론,Novaluron,유자,0.5,0.5,
노발루론,Novaluron,유채,20,20,
노발루론,Novaluron,유채씨,2,2,
노발루론,Novaluron,율무,0.07,0.07,
노발루론,Novaluron,자두,0.2,0.2,
노발루론,Novaluron,차,5,5,
노발루론,Novaluron,차즈기(잎),20,20,
노발루론,Novaluron,참깨,0.7,0.7,
노발루론,Novaluron,참나물,10,10,
노발루론,Novaluron,참외,0.5,0.5,
노발루론,Novaluron,청경채,9,9,
노발루론,Novaluron,체리,7.0†,7,†
노발루론,Novaluron,취나물,5,5,
노발루론,Novaluron,케일,15,15,
노발루론,Novaluron,콜라비,0.05,0.05,
노발루론,Novaluron,토란,0.05,0.05,
노발루론,Novaluron,토마토,0.5,0.5,
노발루론,Novaluron,파,0.7,0.7,
노발루론,Novaluron,파슬리,15,15,
노발루론,Novaluron,패션프루트,0.2,0.2,
노발루론,Novaluron,포도,2,2,
노발루론,Novaluron,포유류고기,0.5,0.5,
노발루론,Novaluron,포유류부산물,0.7,0.7,
노발루론,Novaluron,포유류지방,10,10,
노발루론,Novaluron,풋콩,1,1,
노발루론,Novaluron,피망,1.5,1.5,
노발루론,Novaluron,호박,0.15,0.15,
니코설퓨론,Nicosulfuron,옥수수,0.3,0.3,
니트라피린,Nitrapyrin,감자,0.6†,0.6,†
니트라피린,Nitrapyrin,밀,0.5†,0.5,†
니트라피린,Nitrapyrin,수수,0.1†,0.1,†
니트라피린,Nitrapyrin,옥수수,0.1†,0.1,†
다이뮤론,"Daimuron, Dymron",쌀,0.05,0.05,
다이아지논,Diazinon,가금류고기,0.02,0.02,
다이아지논,Diazinon,가금류부산물,0.02,0.02,
다이아지논,Diazinon,감,0.05T,0.05,T
다이아지논,Diazinon,감자,0.02,0.02,
다이아지논,Diazinon,겨자채,0.05,0.05,
다이아지논,Diazinon,고추,0.05,0.05,
다이아지논,Diazinon,고추(건조),0.3,0.3,
다이아지논,Diazinon,고춧잎,0.05,0.05,
다이아지논,Diazinon,돼지고기,0.7f,0.7,f
다이아지논,Diazinon,마늘,0.05,0.05,
다이아지논,Diazinon,배추,0.05,0.05,
다이아지논,Diazinon,배추(건조),0.3,0.3,
다이아지논,Diazinon,사과,0.05T,0.05,T
다이아지논,Diazinon,소고기,0.7f,0.7,f
다이아지논,Diazinon,알,0.02,0.02,
다이아지논,Diazinon,양고기,0.7f,0.7,f
다이아지논,Diazinon,엇갈이배추,0.1,0.1,
다이아지논,Diazinon,오이,0.03,0.03,
다이아지논,Diazinon,유,0.02F,0.02,F
다이아지논,Diazinon,참외,0.02,0.02,
다이아지논,Diazinon,포도,0.05T,0.05,T
다이아지논,Diazinon,풋마늘,0.05,0.05,
다이아지논,Diazinon,피망,0.05,0.05,
다이쾃,Diquat,가금류고기,0.05,0.05,
다이쾃,Diquat,가금류부산물,0.05,0.05,
다이쾃,Diquat,감자,0.08†,0.08,†
다이쾃,Diquat,대두,0.3†,0.3,†
다이쾃,Diquat,두류,0.9†,0.9,†
다이쾃,Diquat,알,0.05,0.05,
다이쾃,Diquat,유,0.01,0.01,
다이쾃,Diquat,유채씨,1.5†,1.5,†
다이쾃,Diquat,포유류고기,0.05,0.05,
다이쾃,Diquat,포유류부산물,0.05,0.05,
다조멧,Dazomet,마늘,0.1,0.1,
다조멧,Dazomet,멜론,0.1,0.1,
다조멧,Dazomet,상추,0.1,0.1,
다조멧,Dazomet,생강,0.1,0.1,
다조멧,Dazomet,수박,0.1,0.1,
다조멧,Dazomet,참외,0.1,0.1,
다조멧,Dazomet,토마토,0.1,0.1,
델타메트린,Deltamethrin,가지,0.07,0.07,
델타메트린,Deltamethrin,감귤,0.5,0.5,
델타메트린,Deltamethrin,감자,0.01,0.01,
델타메트린,Deltamethrin,갓,1,1,
델타메트린,Deltamethrin,강낭콩,0.05,0.05,
델타메트린,Deltamethrin,건삼,0.05,0.05,
델타메트린,Deltamethrin,고구마,0.05,0.05,
델타메트린,Deltamethrin,고수(잎),1.5,1.5,
델타메트린,Deltamethrin,고추,0.2,0.2,
델타메트린,Deltamethrin,고춧잎,5,5,
델타메트린,Deltamethrin,곡류(쌀 제외),2.0†,2,†
델타메트린,Deltamethrin,구기자(건조),2,2,
델타메트린,Deltamethrin,근대,2,2,
델타메트린,Deltamethrin,꾸지뽕(열매),0.15,0.15,
델타메트린,Deltamethrin,녹두,0.05,0.05,
델타메트린,Deltamethrin,눈개승마,1.5,1.5,
델타메트린,Deltamethrin,다래,0.2,0.2,
델타메트린,Deltamethrin,달래,0.5,0.5,
델타메트린,Deltamethrin,당귀(잎),2,2,
델타메트린,Deltamethrin,당근,0.05,0.05,
델타메트린,Deltamethrin,대두,0.1,0.1,
델타메트린,Deltamethrin,대추,0.2,0.2,
델타메트린,Deltamethrin,대추(건조),0.7,0.7,
델타메트린,Deltamethrin,더덕,0.05,0.05,
델타메트린,Deltamethrin,도라지,0.05,0.05,
델타메트린,Deltamethrin,돌나물,2,2,
델타메트린,Deltamethrin,동부,0.05,0.05,
델타메트린,Deltamethrin,들깨,0.03,0.03,
델타메트린,Deltamethrin,들깻잎,2,2,
델타메트린,Deltamethrin,딸기,0.05,0.05,
델타메트린,Deltamethrin,레몬,0.2,0.2,
델타메트린,Deltamethrin,마가목(열매),2,2,
델타메트린,Deltamethrin,마늘,0.05,0.05,
델타메트린,Deltamethrin,망고,0.07,0.07,
델타메트린,Deltamethrin,매실,0.5,0.5,
델타메트린,Deltamethrin,머위,2,2,
델타메트린,Deltamethrin,멜론,0.05,0.05,
델타메트린,Deltamethrin,무(뿌리),0.05,0.05,
델타메트린,Deltamethrin,무(잎),0.5,0.5,
델타메트린,Deltamethrin,미나리,4,4,
델타메트린,Deltamethrin,밀,2.0†,2,†
델타메트린,Deltamethrin,바질,1.5,1.5,
델타메트린,Deltamethrin,밤,0.05,0.05,
델타메트린,Deltamethrin,배추,0.3,0.3,
델타메트린,Deltamethrin,복분자,0.2,0.2,
델타메트린,Deltamethrin,복숭아,0.5,0.5,
델타메트린,Deltamethrin,부추,2,2,
델타메트린,Deltamethrin,브로콜리,0.2,0.2,
델타메트린,Deltamethrin,블루베리,0.7,0.7,
델타메트린,Deltamethrin,비름나물,2,2,
델타메트린,Deltamethrin,비트(뿌리),0.05,0.05,
델타메트린,Deltamethrin,산마늘잎,2,2,
델타메트린,Deltamethrin,산수유,0.3,0.3,
델타메트린,Deltamethrin,살구,0.3,0.3,
델타메트린,Deltamethrin,상추,0.7,0.7,
델타메트린,Deltamethrin,생강,0.05,0.05,
델타메트린,Deltamethrin,수박,0.05,0.05,
델타메트린,Deltamethrin,수삼,0.05,0.05,
델타메트린,Deltamethrin,순무,0.05,0.05,
델타메트린,Deltamethrin,시금치,1.5,1.5,
델타메트린,Deltamethrin,쌀,0.3†,0.3,†
델타메트린,Deltamethrin,쑥,0.2,0.2,
델타메트린,Deltamethrin,쑥갓,0.3,0.3,
델타메트린,Deltamethrin,아로니아,0.5,0.5,
델타메트린,Deltamethrin,아욱,2,2,
델타메트린,Deltamethrin,양배추,0.2,0.2,
델타메트린,Deltamethrin,양상추,0.7,0.7,
델타메트린,Deltamethrin,양파,0.05,0.05,
델타메트린,Deltamethrin,엇갈이배추,1,1,
델타메트린,Deltamethrin,엽경채류,0.3,0.3,
델타메트린,Deltamethrin,엽채류,1,1,
델타메트린,Deltamethrin,오디,0.5,0.5,
델타메트린,Deltamethrin,오렌지,0.2,0.2,
델타메트린,Deltamethrin,오미자,0.3,0.3,
델타메트린,Deltamethrin,오이,0.5,0.5,
델타메트린,Deltamethrin,옥수수,1.5†,1.5,†
델타메트린,Deltamethrin,완두,0.05,0.05,
델타메트린,Deltamethrin,용과,0.2,0.2,
델타메트린,Deltamethrin,우엉,0.05,0.05,
델타메트린,Deltamethrin,유자,0.5,0.5,
델타메트린,Deltamethrin,유채씨,0.05,0.05,
델타메트린,Deltamethrin,인과류,0.5,0.5,
델타메트린,Deltamethrin,자두,0.1,0.1,
델타메트린,Deltamethrin,작두콩,0.7,0.7,
델타메트린,Deltamethrin,차,5.0†,5,†
델타메트린,Deltamethrin,차즈기(잎),2,2,
델타메트린,Deltamethrin,참깨,0.5,0.5,
델타메트린,Deltamethrin,참나물,2,2,
델타메트린,Deltamethrin,참외,0.05,0.05,
델타메트린,Deltamethrin,체리,0.3,0.3,
델타메트린,Deltamethrin,취나물,2,2,
델타메트린,Deltamethrin,케일,2,2,
델타메트린,Deltamethrin,콜라비,0.05,0.05,
델타메트린,Deltamethrin,키위,0.05,0.05,
델타메트린,Deltamethrin,토란,0.05,0.05,
델타메트린,Deltamethrin,파,0.3,0.3,
델타메트린,Deltamethrin,파슬리,2,2,
델타메트린,Deltamethrin,팥,0.05,0.05,
델타메트린,Deltamethrin,포도,0.2,0.2,
델타메트린,Deltamethrin,풋마늘,0.4,0.4,
델타메트린,Deltamethrin,풋콩,0.3,0.3,
델타메트린,Deltamethrin,피망,0.2,0.2,
델타메트린,Deltamethrin,호두,0.05,0.05,
델타메트린,Deltamethrin,호박,0.05,0.05,
델타메트린,Deltamethrin,호박잎,1,1,
델타메트린,Deltamethrin,호프,0.5,0.5,
디노테퓨란,Dinotefuran,가지,0.5,0.5,
디노테퓨란,Dinotefuran,감귤,1,1,
디노테퓨란,Dinotefuran,감자,0.1,0.1,
디노테퓨란,Dinotefuran,갓,0.1,0.1,
디노테퓨란,Dinotefuran,건삼,0.05,0.05,
디노테퓨란,Dinotefuran,겨자채,2,2,
디노테퓨란,Dinotefuran,경수채,10,10,
디노테퓨란,Dinotefuran,고구마,0.05,0.05,
디노테퓨란,Dinotefuran,고구마줄기,0.05,0.05,
디노테퓨란,Dinotefuran,고들빼기,9,9,
디노테퓨란,Dinotefuran,고려엉겅퀴,9,9,
디노테퓨란,Dinotefuran,고사리(건조),5,5,
디노테퓨란,Dinotefuran,고수(잎),10,10,
디노테퓨란,Dinotefuran,고추,2,2,
디노테퓨란,Dinotefuran,고추냉이(잎),0.5,0.5,
디노테퓨란,Dinotefuran,공심채,9,9,
디노테퓨란,Dinotefuran,구기자,2,2,
디노테퓨란,Dinotefuran,구기자(건조),5,5,
디노테퓨란,Dinotefuran,근대,9,9,
디노테퓨란,Dinotefuran,기장,5,5,
디노테퓨란,Dinotefuran,냉이,9,9,
디노테퓨란,Dinotefuran,녹두,0.5,0.5,
디노테퓨란,Dinotefuran,다채,7,7,
디노테퓨란,Dinotefuran,달래,0.7,0.7,
디노테퓨란,Dinotefuran,당귀(잎),9,9,
디노테퓨란,Dinotefuran,당근,0.07,0.07,
디노테퓨란,Dinotefuran,대두,0.05,0.05,
디노테퓨란,Dinotefuran,대추,2,2,
디노테퓨란,Dinotefuran,대추(건조),5,5,
디노테퓨란,Dinotefuran,동부,0.1,0.1,
디노테퓨란,Dinotefuran,두릅,2,2,
디노테퓨란,Dinotefuran,들깨,0.03,0.03,
디노테퓨란,Dinotefuran,들깻잎,30,30,
디노테퓨란,Dinotefuran,딸기,3,3,
디노테퓨란,Dinotefuran,땅콩,0.07,0.07,
디노테퓨란,Dinotefuran,레몬,2,2,
디노테퓨란,Dinotefuran,루꼴라,10,10,
디노테퓨란,Dinotefuran,마늘,0.05,0.05,
디노테퓨란,Dinotefuran,망고,1,1,
